,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
477,Mario Pašalić,FW,hr Croatia,27-308,1.it Atalanta,1995,6,2,246,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.11,0.08,0.19,0.11,0.19,Matches,e599253a
478,Benjamin Pavard,DF,fr France,26-261,1.de Bayern Munich,1996,1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,45a03961
479,Strahinja Pavlović,DF,rs Serbia,21-204,1.at RB Salzburg,2001,3,3,235,2.6,1,0,1,0,0,2,0,0.38,0,0.38,0.38,0.38,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07,Matches,25146df0
480,Pedri,MF,es Spain,20-019,1.es Barcelona,2002,4,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.22,0.22,0,0.22,Matches,0d9b2d31
481,Pedro,FW,br Brazil,25-177,1.br Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.39,0,1.39,1.39,1.39,Matches,1ab6fad3
482,Facundo Pellistri,MFFW,uy Uruguay,20-359,1.eng Manchester Utd,2001,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.08,0.09,0.17,0.08,0.17,Matches,ac7e7b1c
483,Pepe,DF,pt Portugal,39-291,1.pt Porto,1983,4,4,360,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,Matches,c906ce0f
484,Danilo Pereira,DF,pt Portugal,31-096,1.fr Paris S-G,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8fd9996f
485,Ivan Perišić,FWDF,hr Croatia,33-315,1.eng Tottenham,1989,6,6,579,6.4,1,2,1,0,0,0,0,0.16,0.31,0.47,0.16,0.47,0.9,0.9,0.7,1.6,0.15,0.12,0.27,0.15,0.27,Matches,6fe90922
486,Bruno Petković,FW,hr Croatia,28-089,1.hr Dinamo Zagreb,1994,5,1,209,2.3,1,0,1,0,0,1,0,0.43,0,0.43,0.43,0.43,0.1,0.1,0.3,0.5,0.06,0.17,0.23,0.06,0.23,Matches,24228180
487,Germán Pezzella,DF,ar Argentina,31-170,1.es Betis,1991,2,0,55,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.24,0,0.24,0.24,0.24,Matches,8c725b43
488,Kalvin Phillips,MF,eng England,27-012,1.eng Manchester City,1995,2,0,42,0.5,0,1,0,0,0,0,0,0,2.14,2.14,0,2.14,0,0,0.1,0.1,0,0.17,0.17,0,0.17,Matches,4f565d77
489,Krzysztof Piątek,FW,pl Poland,27-166,1.it Salernitana,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,17f3620a
490,Jordan Pickford,GK,eng England,28-282,1.eng Everton,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4806ec67
491,Orbelín Pineda,MF,mx Mexico,26-265,1.gr AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.38,0.07,0.45,0.38,0.45,Matches,411fabd7
492,Gonzalo Plata,MFFW,ec Ecuador,22-043,1.es Valladolid,2000,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11,Matches,54bcdeb0
493,Jackson Porozo,DF,ec Ecuador,22-132,1.fr Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05,Matches,7d704e92
494,Morteza Pouraliganji,DF,ir IR Iran,30-239,1.ir Persepolis,1992,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.07,0.09,0.03,0.09,Matches,2c2066f4
495,Ángelo Preciado,DF,ec Ecuador,24-299,1.be Genk,1998,3,3,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.4,0.5,0.02,0.14,0.17,0.02,0.17,Matches,eadc8e4f
496,Christian Pulisic,FWMF,us United States,24-087,1.eng Chelsea,1998,4,4,315,3.5,1,2,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,1.1,1.1,0.9,2,0.3,0.26,0.56,0.3,0.56,Matches,1bf33a9a
497,Adrien Rabiot,MF,fr France,27-255,1.it Juventus,1995,5,4,388,4.3,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,1,1,0.9,1.9,0.23,0.2,0.43,0.23,0.43,Matches,8.79E+254
498,Nemanja Radonjić,DFFW,rs Serbia,26-302,1.it Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0.05,0.19,0.15,0.19,Matches,0630eb63
499,Baba Rahman,DF,gh Ghana,28-165,2.eng Reading,1994,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.15,0.15,0,0.15,Matches,e4086af3
500,Gonçalo Ramos,FWMF,pt Portugal,21-177,1.pt Benfica,2001,4,2,152,1.7,3,1,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13,Matches,f63cda26
501,Aaron Ramsey,MF,wls Wales,31-353,1.fr Nice,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,ef619b0b
502,Raphinha,FW,br Brazil,26-000,1.es Barcelona,1996,5,4,315,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72,Matches,3423f250
503,Marcus Rashford,FW,eng England,25-044,1.eng Manchester Utd,1997,5,1,140,1.6,3,0,3,0,0,0,0,1.93,0,1.93,1.93,1.93,1.6,1.6,0,1.6,1.03,0,1.03,1.03,1.03,Matches,a1d5bd30
504,David Raum,DF,de Germany,24-236,1.de RB Leipzig,1998,3,3,242,2.7,0,1,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.6,0.6,0,0.22,0.22,0,0.22,Matches,7d450ed3
505,Bassam Al-Rawi,DF,qa Qatar,24-363,1.qa Al Duhail SC,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,d59acc5e
506,Tim Ream,DF,us United States,35-070,1.eng Fulham,1987,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.07,0,0.07,0.07,0.07,Matches,28b40c9c
507,Djorkaeff Reasco,FW,ec Ecuador,23-330,1.ar Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5d7b7f0e
508,Gio Reyna,FW,us United States,20-031,1.de Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0.28,0.38,0.1,0.38,Matches,7fa4e703
509,Ramin Rezaeian,DF,ir IR Iran,32-268,1.ir Sepahan,1990,2,2,180,2,1,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.13,0.14,0.27,0.13,0.27,Matches,c0ae3446
510,Everton Ribeiro,MF,br Brazil,33-248,1.br Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21,Matches,68fb50a2
511,Declan Rice,MF,eng England,23-334,1.eng West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,1c7012b8
512,Richarlison,FW,br Brazil,25-218,1.eng Tottenham,1997,4,4,323,3.6,3,0,3,0,0,0,0,0.84,0,0.84,0.84,0.84,2.1,2.1,1,3.1,0.59,0.27,0.86,0.59,0.86,Matches,fa031b34
513,Fabian Rieder,FW,ch Switzerland,20-301,1.ch Young Boys,2002,2,1,68,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.25,0.25,0,0.25,Matches,c2bd8585
514,Ró-Ró,DF,qa Qatar,32-130,1.qa Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,8735fe66
515,Connor Roberts,DF,wls Wales,27-082,2.eng Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.16,0.16,0,0.16,Matches,24fae784
516,Antonee Robinson,DF,us United States,25-128,1.eng Fulham,1997,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.07,0.07,0,0.07,Matches,2.90E+11
517,Sergio Rochet,GK,uy Uruguay,29-266,1.uy Nacional,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,81b99b9e
518,Joe Rodon,DF,wls Wales,25-053,1.fr Rennes,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8d62d31a
519,Rodri,DF,es Spain,26-175,1.eng Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.04,0.05,0.01,0.05,Matches,6434f10d
520,Charly Rodríguez,MF,mx Mexico,25-345,1.mx Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f0acf582
521,Guido Rodríguez,MF,ar Argentina,28-246,1.es Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,34e393f2
522,Kevin Rodríguez,FW,ec Ecuador,22-285,,2000,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Matches,189fb038
523,Ricardo Rodríguez,DF,ch Switzerland,30-111,1.it Torino,1992,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04,Matches,7f78ad23
524,Rodrygo,MFFW,br Brazil,21-339,1.es Real Madrid,2001,5,1,181,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52,Matches,8f5e92a6
525,Mohamed Ali Ben Romdhane,MF,tn Tunisia,23-099,1.tn Espérance de Tunis,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b4db6d4d
526,Cristian Romero,DF,ar Argentina,24-231,1.eng Tottenham,1998,6,5,427,4.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a3d94a58
527,Cristiano Ronaldo,FW,pt Portugal,37-312,1.eng Manchester Utd,1985,5,3,290,3.2,1,0,0,1,1,0,0,0.31,0,0.31,0,0,1.6,0.8,0.1,1,0.51,0.04,0.55,0.26,0.3,Matches,dea698d9
528,Marten de Roon,MF,nl Netherlands,31-260,1.it Atalanta,1991,5,3,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2a1beb34
529,Kye Rowles,DF,au Australia,24-173,1.sct Hearts,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8caf6772
530,Antonio Rüdiger,DF,de Germany,29-286,1.es Real Madrid,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.25,0,0.25,0.25,0.25,Matches,18b896d6
531,Bryan Ruiz,MF,cr Costa Rica,37-118,1.cr Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fa6292e2
532,Mathew Ryan,GK,au Australia,30-250,1.dk FC Copenhagen,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4535e4bb
533,Youssouf Sabaly,DF,sn Senegal,29-284,1.es Betis,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.01,0.16,0.18,0.01,0.18,Matches,fbbb9269
534,Abdelhamid Sabiri,MF,ma Morocco,26-016,1.it Sampdoria,1996,4,1,136,1.5,0,1,0,0,0,1,0,0,0.66,0.66,0,0.66,0.1,0.1,0.9,1,0.11,0.75,0.86,0.11,0.86,Matches,4830e0af
535,Romain Saïss,DF,ma Morocco,32-263,1.tr Beşiktaş,1990,5,5,446,5,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,0.8,0.8,0,0.8,0.17,0,0.17,0.17,0.17,Matches,9fbbcf39
536,Bukayo Saka,FW,eng England,21-100,1.eng Arsenal,2001,4,4,288,3.2,3,0,3,0,0,0,0,0.94,0,0.94,0.94,0.94,0.6,0.6,0.7,1.3,0.2,0.2,0.4,0.2,0.4,Matches,bc7dc64d
537,Hiroki Sakai,MFDF,jp Japan,32-246,1.jp Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.54,0.07,0.61,0.54,0.61,Matches,d63e2912
538,Youstin Salas,DFMF,cr Costa Rica,26-180,1.cr Deportivo Saprissa,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,055dd4d3
539,William Saliba,DF,fr France,21-265,1.eng Arsenal,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches,972aeb2a
540,Mohammed Salisu,DF,gh Ghana,23-241,1.eng Southampton,1999,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.8,0.8,0.2,1,0.26,0.08,0.34,0.26,0.34,Matches,0b33f6ad
541,Tarek Salman,DF,qa Qatar,25-009,1.qa Al Sadd SC,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,420f4985
542,Alex Sandro,DF,br Brazil,31-322,1.it Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,0d82903c
543,Leroy Sané,FWDF,de Germany,26-337,1.de Bayern Munich,1996,2,1,111,1.2,0,1,0,0,0,0,0,0,0.81,0.81,0,0.81,0.1,0.1,1.8,1.9,0.09,1.44,1.54,0.09,1.54,Matches,2b114be3
544,Na Sang-ho,FW,kr Korea Republic,26-124,1.kr FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.03,0.09,0.12,0.03,0.12,Matches,6af38cdd
545,Pablo Sarabia,FW,es Spain,30-217,1.fr Paris S-G,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,,,,,,Matches,9744ff80
546,Josh Sargent,FW,us United States,22-297,2.eng Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25,Matches,a8d4428b
547,Jeremy Sarmiento,MFFW,ec Ecuador,20-181,1.eng Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.07,0.09,0.15,0.07,0.15,Matches,ac0d576d
548,Ismaila Sarr,FWMF,sn Senegal,24-292,2.eng Watford,1998,4,4,344,3.8,1,0,0,1,1,0,0,0.26,0,0.26,0,0,1.7,0.9,0.4,1.3,0.43,0.11,0.55,0.23,0.34,Matches,bfdb33aa
549,Ferjani Sassi,MFDF,tn Tunisia,30-271,1.qa Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,35bf6065
550,Fabian Schär,DF,ch Switzerland,30-359,1.eng Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09,Matches,c8aa95da
551,Nico Schlotterbeck,DF,de Germany,23-013,1.de Dortmund,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches,34e12499
552,Kasper Schmeichel,GK,dk Denmark,36-039,1.fr Nice,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,53af52f3
553,Haris Seferović,FW,ch Switzerland,30-295,1.tr Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.24,0.03,0.27,0.24,0.27,Matches,a45eac1f
554,Alidu Seidu,DF,gh Ghana,22-193,1.fr Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,cea59f02
555,Antoine Semenyo,FWMF,gh Ghana,22-341,2.eng Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches,efd2ec23
556,Kim Seung-gyu,GK,kr Korea Republic,32-075,1.sa Al-Shabab,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eabaafa6
557,Paik Seung-ho,MF,kr Korea Republic,25-272,1.kr Jeonbuk,1997,1,0,26,0.3,1,0,1,0,0,0,0,3.46,0,3.46,3.46,3.46,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,1e1bea09
558,Yasser Al-Shahrani,DF,sa Saudi Arabia,30-203,1.sa Al-Hilal,1992,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,251c164e
559,Xherdan Shaqiri,FWMF,ch Switzerland,31-065,1.us Chicago Fire,1991,3,3,229,2.5,1,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,0.3,0.3,0.9,1.2,0.12,0.35,0.47,0.12,0.47,Matches,6421ec64
560,Riyadh Sharahili,MF,sa Saudi Arabia,29-230,1.sa Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,3e8326a9
561,Luke Shaw,DF,eng England,27-155,1.eng Manchester Utd,1995,5,5,424,4.7,0,1,0,0,0,0,0,0,0.21,0.21,0,0.21,0.1,0.1,0.8,0.9,0.02,0.17,0.19,0.02,0.19,Matches,9c94165b
562,Saad Al Sheeb,GK,qa Qatar,32-298,1.qa Al Sadd SC,1990,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e00ad66a
563,Saleh Al-Shehri,FW,sa Saudi Arabia,29-043,1.sa Al-Hilal,1993,3,3,223,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,0.1,0.1,0.1,0.2,0.03,0.05,0.09,0.03,0.09,Matches,f4377d0f
564,André Silva,FW,pt Portugal,27-038,1.de RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21,Matches,3effaa34
565,António Silva,DF,pt Portugal,19-045,1.pt Benfica,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8f0435c7
566,Bernardo Silva,MF,pt Portugal,28-126,1.eng Manchester City,1994,5,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14,Matches,3eb22ec9
567,Thiago Silva,DF,br Brazil,38-083,1.eng Chelsea,1984,4,4,390,4.3,0,1,0,0,0,0,0,0,0.23,0.23,0,0.23,0.2,0.2,0.9,1.1,0.04,0.23,0.27,0.04,0.27,Matches,86e7deaf
568,Unai Simón,GK,es Spain,25-186,1.es Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5dcf3e90
569,Xavi Simons,FWMF,nl Netherlands,19-237,1.nl PSV Eindhoven,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,da4d670f
570,Ellyes Skhiri,MF,tn Tunisia,27-218,1.de Köln,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches,c2211709
571,Michał Skóraś,MF,pl Poland,22-302,1.pl Lech Poznań,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,5a80aea3
572,Andreas Skov Olsen,FWMF,dk Denmark,22-350,1.be Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.16,0,0.16,0.16,0.16,Matches,c50cee19
573,Robert Skov,DF,dk Denmark,26-208,1.de Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff98492b
574,Naïm Sliti,MFFW,tn Tunisia,30-140,1.sa Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.11,0.1,0.21,0.11,0.21,Matches,2e0367a6
575,Carlos Soler,MF,es Spain,25-346,1.fr Paris S-G,1997,2,0,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04,Matches,fed17f5a
576,Yuki Soma,FWMF,jp Japan,25-292,1.jp Grampus,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21,Matches,e997f52f
577,Yann Sommer,GK,ch Switzerland,33-362,1.de M'Gladbach,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,420c18a1
578,Borna Sosa,DF,hr Croatia,24-327,1.de Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09,Matches,af0d79a9
579,Harry Souttar,DF,au Australia,24-053,2.eng Stoke City,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,0a6cb1b1
580,Djibril Sow,MF,ch Switzerland,25-311,1.de Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12,Matches,4c6facae
581,Renato Steffen,FW,ch Switzerland,31-041,1.ch Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dd669209
582,Raheem Sterling,FW,eng England,28-006,1.eng Chelsea,1994,3,2,149,1.7,1,1,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31,Matches,b400bde0
583,John Stones,DF,eng England,28-200,1.eng Manchester City,1994,5,5,434,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches,5eecec3d
584,Luis Suárez,FW,uy Uruguay,35-324,1.uy Nacional,1987,3,2,146,1.6,0,1,0,0,0,1,0,0,0.62,0.62,0,0.62,0.4,0.4,0.1,0.5,0.26,0.04,0.29,0.26,0.29,Matches,a6154613
585,Niklas Süle,DF,de Germany,27-102,1.de Dortmund,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,e33c06cf
586,Kamaldeen Sulemana,FW,gh Ghana,20-302,1.fr Rennes,2002,2,0,58,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09,Matches,a62f8bf1
587,Karol Świderski,FW,pl Poland,25-325,1.us Charlotte,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,41723204
588,Wojciech Szczęsny,GK,pl Poland,32-240,1.it Juventus,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,01b8a2b2
589,Damian Szymański,MF,pl Poland,27-181,1.gr AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e935dbbf
590,Sebastian Szymański,MF,pl Poland,23-218,1.nl Feyenoord,1999,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bb718263
591,Dušan Tadić,MFFW,rs Serbia,34-024,1.nl Ajax,1988,3,3,257,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0.1,0.1,0.7,0.8,0.03,0.25,0.28,0.03,0.28,Matches,2475dcc6
592,Nicolás Tagliafico,DF,ar Argentina,30-105,1.fr Lyon,1992,5,2,254,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.41,0.06,0.47,0.41,0.47,Matches,f0661424
593,Montassar Talbi,DF,tn Tunisia,24-202,1.fr Lorient,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4a44eb0
594,Hassan Al Tambakti,DF,sa Saudi Arabia,23-308,1.sa Al-Shabab,1999,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6d78c320
595,Ao Tanaka,MF,jp Japan,24-095,2.de Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53,0.53,1,1,0.1,1,0.55,0.05,0.6,0.55,0.6,Matches,1d36d6b6
596,Shogo Taniguchi,DF,jp Japan,31-152,1.jp Kawa Frontale,1991,2,2,210,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.12,0,0.12,0.12,0.12,Matches,828a9c47
597,Mehdi Taremi,FW,ir IR Iran,30-149,1.pt Porto,1992,3,3,270,3,2,1,1,1,1,0,0,0.67,0.33,1,0.33,0.67,1.3,0.6,0.7,1.2,0.45,0.22,0.67,0.18,0.4,Matches,4c2a5d34
